Temp,Paths,Samples,Tau,Step Limit,Accuracy (%),Time (s),Efficiency
0.6,2,1000,0.001,500,60.0,8.9,0.0673
0.6,2,1000,0.001,1000,48.0,8.0,0.0599
0.6,4,1000,0.001,1000,48.0,6.9,0.0695
0.6,2,1000,0.001,100,46.0,6.7,0.0685
0.6,4,1000,0.001,100,42.0,6.4,0.0657
0.6,4,1000,0.001,500,40.0,6.5,0.0616
0.6,1,1000,0.001,1000,32.0,12.6,0.0254
0.6,8,1000,0.001,100,30.0,5.0,0.06
0.6,1,1000,0.001,100,30.0,7.4,0.0406
0.6,8,1000,0.001,500,30.0,5.5,0.0545
0.6,8,1000,0.001,1000,28.0,5.0,0.0562
0.6,1,1000,0.001,500,24.0,11.2,0.0214
0.6,16,1000,0.001,100,12.0,3.3,0.0361
0.6,16,1000,0.001,1000,10.0,3.4,0.0291
0.6,16,1000,0.001,500,8.0,3.7,0.0215
