Temp,Paths,Samples,Tau,Step Limit,Accuracy (%),Time (s),Efficiency
0.6,8,1600,0.1,1600,30.0,20.4,0.0147
0.6,8,1600,0.01,1600,27.0,20.5,0.0132
0.6,4,1600,0.1,800,24.0,13.5,0.0178
0.6,8,1600,0.01,400,23.0,8.3,0.0278
0.6,4,1600,0.01,400,21.0,8.0,0.0263
0.6,1,1600,0.1,800,20.0,13.4,0.0149
0.6,8,1600,0.1,800,20.0,13.9,0.0144
0.6,4,1600,0.01,1600,20.0,20.2,0.0099
0.6,8,1600,0.1,400,19.0,8.3,0.0228
0.6,2,1600,0.01,1600,19.0,19.8,0.0096
0.6,2,1600,0.1,800,19.0,13.3,0.0142
0.6,8,1600,0.01,800,19.0,13.9,0.0137
0.6,4,1600,0.1,400,18.0,8.0,0.0225
0.6,2,1600,0.1,400,18.0,7.9,0.0226
0.6,2,1600,0.01,400,17.0,8.0,0.0214
0.6,2,1600,0.1,1600,17.0,20.0,0.0085
0.6,4,1600,0.01,800,15.0,13.5,0.0111
0.6,2,1600,0.01,800,14.0,13.3,0.0105
0.6,1,1600,0.1,400,14.0,7.9,0.0177
0.6,4,1600,0.1,1600,14.0,20.1,0.007
0.6,1,1600,0.01,1600,12.0,19.3,0.0062
0.6,1,1600,0.1,1600,10.0,20.3,0.0049
0.6,1,1600,0.01,400,10.0,7.9,0.0126
0.6,1,1600,0.01,800,10.0,13.1,0.0076
0.6,1,1600,0.1,200,8.0,4.4,0.0182
0.6,8,1600,0.1,200,5.0,4.7,0.0107
0.6,4,1600,0.1,200,5.0,4.5,0.0112
0.6,1,1600,0.01,200,3.0,4.4,0.0067
0.6,4,1600,0.01,200,3.0,4.5,0.0067
0.6,2,1600,0.01,200,3.0,4.5,0.0067
0.6,8,1600,0.01,200,3.0,4.6,0.0065
0.6,2,1600,0.1,200,1.0,4.5,0.0022
