Temp,Paths,Samples,Tau,Step Limit,Accuracy (%),Time (s),Efficiency
0.6,8,1600,0.01,400,28.0,12.8,0.0219
0.6,8,1600,0.1,800,28.0,23.5,0.0119
0.6,8,1600,0.01,800,27.0,18.8,0.0144
0.6,1,1600,0.1,400,26.0,12.1,0.0215
0.6,4,1600,0.1,400,26.0,12.3,0.0212
0.6,2,1600,0.01,200,26.0,7.2,0.036
0.6,2,1600,0.1,400,26.0,12.2,0.0213
0.6,8,1600,0.1,400,26.0,15.8,0.0165
0.6,8,1600,0.01,1600,25.0,24.4,0.0102
0.6,2,1600,0.01,400,25.0,12.1,0.0206
0.6,2,1600,0.01,800,24.0,18.1,0.0133
0.6,4,1600,0.01,400,22.0,12.3,0.0179
0.6,2,1600,0.01,1600,22.0,24.0,0.0092
0.6,8,1600,0.1,1600,21.0,29.6,0.0071
0.6,2,1600,0.1,1600,20.0,23.5,0.0085
0.6,1,1600,0.1,1600,20.0,24.4,0.0082
0.6,4,1600,0.01,800,19.0,18.9,0.0101
0.6,1,1600,0.1,200,19.0,7.2,0.0263
0.6,8,1600,0.01,200,18.0,7.6,0.0237
0.6,4,1600,0.01,1600,18.0,24.2,0.0074
0.6,1,1600,0.01,800,18.0,18.0,0.01
0.6,2,1600,0.1,200,18.0,7.3,0.0248
0.6,1,1600,0.01,1600,18.0,24.8,0.0073
0.6,2,1600,0.1,800,18.0,18.0,0.01
0.6,4,1600,0.1,800,18.0,18.9,0.0095
0.6,1,1600,0.01,400,17.0,12.1,0.0141
0.6,4,1600,0.01,200,16.0,7.4,0.0217
0.6,1,1600,0.1,800,16.0,18.3,0.0087
0.6,8,1600,0.1,200,16.0,7.6,0.0212
0.6,4,1600,0.1,1600,16.0,25.4,0.0063
0.6,4,1600,0.1,200,15.0,7.3,0.0204
0.6,1,1600,0.01,200,11.0,7.2,0.0152
