Temp,Paths,Samples,Tau,Step Limit,Accuracy (%),Time (s),Efficiency
0.6,4,1600,0.1,1600,62.0,6.7,0.0924
0.6,8,1600,1.0,800,60.0,6.3,0.0945
0.6,4,1600,0.1,800,60.0,7.0,0.0858
0.6,8,1600,0.1,200,60.0,6.5,0.0929
0.6,4,1600,1.0,400,58.0,6.6,0.0881
0.6,4,1600,0.01,800,58.0,7.0,0.0834
0.6,4,1600,0.01,200,56.0,6.8,0.0818
0.6,4,1600,0.1,400,56.0,7.0,0.0804
0.6,8,1600,1.0,1600,56.0,6.0,0.0926
0.6,4,1600,0.01,1600,54.0,6.9,0.0777
0.6,8,1600,0.01,400,54.0,5.9,0.092
0.6,8,1600,0.01,1600,52.0,6.3,0.0823
0.6,4,1600,0.01,400,50.0,7.1,0.0704
0.6,2,1600,0.1,200,50.0,8.3,0.0602
0.6,4,1600,1.0,1600,50.0,7.4,0.0674
0.6,4,1600,0.1,200,50.0,6.9,0.0729
0.6,4,1600,1.0,800,50.0,7.1,0.0701
0.6,8,1600,1.0,400,50.0,6.4,0.0783
0.6,4,1600,1.0,200,50.0,7.2,0.0697
0.6,8,1600,0.1,800,48.0,6.2,0.0773
0.6,8,1600,0.1,1600,48.0,6.3,0.0761
0.6,2,1600,0.01,200,46.0,7.6,0.0605
0.6,2,1600,0.01,800,44.0,8.2,0.0539
0.6,8,1600,0.01,200,44.0,6.4,0.0683
0.6,2,1600,0.1,400,42.0,8.3,0.0506
0.6,2,1600,0.01,1600,42.0,8.1,0.0521
0.6,8,1600,0.1,400,40.0,7.0,0.0572
0.6,8,1600,0.01,800,40.0,6.8,0.0589
0.6,2,1600,0.01,400,40.0,8.0,0.0501
0.6,8,1600,1.0,200,40.0,6.5,0.0619
0.6,2,1600,1.0,200,38.0,8.3,0.0457
0.6,2,1600,1.0,400,36.0,7.8,0.0459
0.6,2,1600,0.1,1600,34.0,8.0,0.0423
0.6,2,1600,1.0,1600,32.0,7.6,0.0419
0.6,1,1600,0.01,800,30.0,8.5,0.0354
0.6,1,1600,1.0,1600,28.0,9.2,0.0303
0.6,2,1600,0.1,800,28.0,8.2,0.0343
0.6,2,1600,1.0,800,28.0,8.2,0.0342
0.6,1,1600,1.0,200,26.0,9.9,0.0263
0.6,1,1600,0.01,1600,22.0,10.7,0.0205
0.6,1,1600,0.1,1600,22.0,9.0,0.0245
0.6,1,1600,0.1,400,20.0,8.8,0.0228
0.6,1,1600,0.1,200,20.0,8.9,0.0225
0.6,1,1600,1.0,800,20.0,9.2,0.0217
0.6,1,1600,1.0,400,18.0,9.1,0.0199
0.6,1,1600,0.01,200,18.0,9.2,0.0196
0.6,1,1600,0.01,400,16.0,8.8,0.0182
0.6,1,1600,0.1,800,14.0,8.9,0.0158
